Any;Setmana;Lleida;Camp de Tarragona;Barcelona;Girona;Catalunya Central;Alt Pirineu i Aran;Terres de l`Ebre;Catalunya;
2008;1;0;0;4;0;0;0;0;4; 
2008;2;0;0;14;0;0;0;0;14; 
2008;3;0;0;11;0;0;0;0;11; 
2008;4;0;0;14;1;0;0;0;15; 
2008;5;0;1;8;1;0;0;0;10; 
2008;6;0;0;19;0;0;0;0;19; 
2008;7;0;0;8;0;1;0;0;9; 
2008;8;0;0;8;0;0;0;0;8; 
2008;9;0;0;8;1;0;0;0;9; 
2008;10;0;0;5;0;0;0;0;5; 
2008;11;0;1;5;2;0;0;0;8; 
2008;12;0;0;5;0;1;0;1;7; 
2008;13;0;0;3;0;0;0;0;3; 
2008;14;0;0;10;3;0;0;0;13; 
2008;15;0;0;6;0;3;0;1;10; 
2008;16;1;0;5;0;0;0;0;6; 
2008;17;1;0;11;0;0;1;0;13; 
2008;18;0;0;12;2;1;0;0;15; 
2008;19;3;0;16;1;0;0;2;22; 
2008;20;1;2;14;0;2;0;0;19; 
2008;21;2;0;25;0;3;0;4;34; 
2008;22;1;0;21;0;2;0;4;28; 
2008;23;0;0;14;0;2;1;3;20; 
2008;24;3;0;17;1;0;0;1;22; 
2008;25;1;1;13;1;1;0;1;18; 
2008;26;1;1;17;0;1;0;0;20; 
2008;27;5;1;21;0;0;0;3;30; 
2008;28;1;0;28;1;0;0;5;35; 
2008;29;1;1;27;5;1;0;2;37; 
2008;30;0;0;21;2;1;0;3;27; 
2008;31;1;0;22;2;0;0;2;27; 
2008;32;0;0;15;1;1;0;2;19; 
2008;33;2;0;5;0;0;0;0;7; 
2008;34;1;0;10;0;0;0;0;11; 
2008;35;2;2;11;1;0;0;2;18; 
2008;36;0;1;15;4;2;0;1;23; 
2008;37;0;0;19;1;0;0;0;20; 
2008;38;4;2;19;0;0;0;0;25; 
2008;39;0;3;18;1;0;0;0;22; 
2008;40;0;2;19;1;3;0;0;25; 
2008;41;1;1;40;1;1;0;0;44; 
2008;42;0;1;21;2;1;0;0;25; 
2008;43;3;2;16;0;1;0;0;22; 
2008;44;1;2;16;0;1;0;1;21; 
2008;45;0;1;25;0;0;0;0;26; 
2008;46;1;1;29;0;1;0;1;33; 
2008;47;2;0;32;0;0;0;2;36; 
2008;48;0;1;23;0;2;0;1;27; 
2008;49;0;1;42;1;2;0;0;46; 
2008;50;0;2;17;0;2;0;0;21; 
2008;51;1;0;31;0;3;0;0;35; 
2008;52;0;0;8;0;0;0;0;8; 
2008;53;1;0;14;1;1;0;0;17; 
2009;1;0;0;9;1;1;0;0;11; 
2009;2;0;1;14;1;6;0;0;22; 
2009;3;1;0;23;0;5;0;0;29; 
2009;4;1;0;31;1;1;1;1;36; 
2009;5;2;1;22;1;1;0;1;28; 
2009;6;1;1;30;0;4;0;1;37; 
2009;7;1;3;25;2;1;0;0;32; 
2009;8;1;1;37;1;1;0;0;41; 
2009;9;0;1;28;2;10;0;0;41; 
2009;10;3;1;37;0;2;0;1;44; 
2009;11;4;3;36;0;1;0;0;44; 
2009;12;2;4;46;0;1;0;0;53; 
2009;13;0;6;44;0;1;0;0;51; 
2009;14;2;0;38;0;2;0;0;42; 
2009;15;0;1;28;0;1;0;1;31; 
2009;16;1;6;35;1;1;1;3;48; 
2009;17;2;2;32;0;3;0;1;40; 
2009;18;4;0;35;0;1;0;1;41; 
2009;19;4;4;32;1;2;0;1;44; 
2009;20;4;1;35;1;2;0;1;44; 
2009;21;0;2;44;1;4;0;0;51; 
2009;22;2;2;30;1;3;0;0;38; 
2009;23;5;1;40;3;0;0;3;52; 
2009;24;2;0;28;3;0;0;1;34; 
2009;25;2;1;38;1;1;0;1;44; 
2009;26;1;0;37;2;5;0;1;46; 
2009;27;5;0;35;4;4;0;2;50; 
2009;28;2;1;38;1;4;0;0;46; 
2009;29;4;1;43;2;3;0;0;53; 
2009;30;1;1;39;5;1;0;1;48; 
2009;31;3;1;22;2;1;0;1;30; 
2009;32;1;3;15;2;1;0;1;23; 
2009;33;2;1;17;4;1;0;0;25; 
2009;34;1;2;23;3;0;0;1;30; 
2009;35;1;4;24;3;5;0;1;38; 
2009;36;0;1;30;1;0;0;0;32; 
2009;37;1;1;49;8;2;0;0;61; 
2009;38;2;0;38;5;2;1;0;48; 
2009;39;1;1;35;1;3;0;0;41; 
2009;40;0;1;52;0;1;0;0;54; 
2009;41;0;1;19;2;3;0;1;26; 
2009;42;4;0;38;2;3;0;2;49; 
2009;43;4;3;47;4;1;0;1;60; 
2009;44;0;0;52;2;4;0;2;60; 
2009;45;4;3;37;2;5;0;0;51; 
2009;46;2;2;36;2;5;0;3;50; 
2009;47;0;2;35;1;5;0;0;43; 
2009;48;0;1;38;3;3;0;1;46; 
2009;49;0;1;24;1;2;0;1;29; 
2009;50;2;1;43;0;2;0;0;48; 
2009;51;1;1;35;0;1;0;0;38; 
2009;52;1;0;17;1;4;0;0;23; 
2010;1;1;2;11;0;3;0;0;17; 
2010;2;1;3;36;2;10;0;1;53; 
2010;3;0;3;51;1;6;1;2;64; 
2010;4;0;5;38;0;6;0;0;49; 
2010;5;1;3;44;2;7;0;0;57; 
2010;6;1;1;45;4;2;0;2;55; 
2010;7;0;3;43;2;6;0;2;56; 
2010;8;0;2;54;4;8;0;2;70; 
2010;9;2;2;53;2;13;0;2;74; 
2010;10;0;1;32;1;13;0;1;48; 
2010;11;1;1;52;1;2;0;1;58; 
2010;12;1;0;32;0;7;0;0;40; 
2010;13;0;1;19;1;7;0;0;28; 
2010;14;1;2;30;2;2;0;2;39; 
2010;15;0;0;43;1;8;0;4;56; 
2010;16;3;3;34;2;7;0;0;49; 
2010;17;1;4;33;2;7;0;1;48; 
2010;18;1;2;46;2;6;0;2;59; 
2010;19;3;1;41;1;8;0;0;54; 
2010;20;4;3;54;4;11;0;1;77; 
2010;21;1;0;45;4;6;0;0;56; 
2010;22;2;5;45;0;4;0;1;57; 
2010;23;5;4;43;4;5;1;0;62; 
2010;24;5;1;50;0;1;0;0;57; 
2010;25;2;0;21;1;3;0;0;27; 
2010;26;5;3;32;1;6;0;0;47; 
2010;27;6;1;32;2;2;0;0;43; 
2010;28;0;1;34;6;4;0;1;46; 
2010;29;3;1;26;1;7;0;0;38; 
2010;30;1;0;33;0;6;0;1;41; 
2010;31;1;2;40;5;6;0;0;54; 
2010;32;2;0;32;2;5;0;0;41; 
2010;33;0;1;19;0;2;0;0;22; 
2010;34;0;1;35;1;4;0;1;42; 
2010;35;3;1;34;1;5;1;1;46; 
2010;36;1;2;35;1;4;0;0;43; 
2010;37;3;3;36;1;8;0;0;51; 
2010;38;4;1;33;1;4;0;0;43; 
2010;39;3;2;29;1;7;2;0;44; 
2010;40;1;1;34;0;7;5;0;48; 
